ProjectID,BugID,IssueID,URL,Exported? (Y/N/Review),Class,Notes,Classes
Lang,1,LANG-747,https://issues.apache.org/jira/browse/LANG-747,Y,4,Developer reported inconsistencies between createLong and createInteger functionality for NumberUtils. (createLong cannot handle hex and octal) but no test case,(1) No Repro
Lang,2,LANG-879,https://issues.apache.org/jira/browse/LANG-879,"R (Had to simplify, user used several libs)","2,4,(5?)","User submitted test and stack trace of failure (JDK7 error, JDK6 success)",(2) Stack Trace
Lang,3,LANG-693,https://issues.apache.org/jira/browse/LANG-693,R ,4 (5?),"User submitted bug with a paragraph of text describing issue, in the issue thread the user gives values that cause the issue with test case (patch file)",(3) End-to-end input
Lang,4,LANG-882,https://issues.apache.org/jira/browse/LANG-882,Y,4,(Dev or knowledgable) User submitted bug with test code and results as well as reasoning for why the result is wrong,(4) User Submitted
Lang,5,LANG-865,https://issues.apache.org/jira/browse/LANG-865,Y,4 (5?),"User/dev talks about finding a bug while fixing another bug, lists case that causes error with test (patch file)",(5) Developer Submitted regression
Lang,6,LANG-857,https://issues.apache.org/jira/browse/LANG-857,Y,"2,4,5",User submitted tests that cause an exception. Included stack trace of exception as well as the input that causes the exception. Test cases included in patch file and in thread,
Lang,7,LANG-822,https://issues.apache.org/jira/browse/LANG-822,Y,,,?'s: Is (3) a value that can be used to cause the bug? Does this include test cases?
Lang,8,LANG-818,https://issues.apache.org/jira/browse/LANG-818,Y,,,(5) users also seem to submit regression tests
Lang,9,LANG-832,https://issues.apache.org/jira/browse/LANG-832,Y,,,(R: difficult to create case w/o prior knowledge)
Lang,10,LANG-831,https://issues.apache.org/jira/browse/LANG-831,Y,,,(R: similar to 832)
Lang,11,LANG-807,https://issues.apache.org/jira/browse/LANG-807,Y,,,
Lang,12,LANG-805,https://issues.apache.org/jira/browse/LANG-805,Y,,,
Lang,13,LANG-788,https://issues.apache.org/jira/browse/LANG-788,Y,,,
Lang,14,LANG-786,https://issues.apache.org/jira/browse/LANG-786,N,,,
Lang,15,LANG-775,https://issues.apache.org/jira/browse/LANG-775,R (seems like a request to add to a test file and not a bug?),,,
Lang,16,LANG-746,https://issues.apache.org/jira/browse/LANG-746,Y,,,
Lang,17,LANG-720,https://issues.apache.org/jira/browse/LANG-720,Y,,,
Lang,18,LANG-719,https://issues.apache.org/jira/browse/LANG-719,Y,,,
Lang,19,LANG-710,https://issues.apache.org/jira/browse/LANG-710,Y,,,
Lang,20,LANG-703,https://issues.apache.org/jira/browse/LANG-703,Y,,,
Lang,21,LANG-677,https://issues.apache.org/jira/browse/LANG-677,R (user test doesn't reproduce although root cause is identified),,,User suggested root cause and fix in comments.
Lang,22,LANG-662,https://issues.apache.org/jira/browse/LANG-662,Y,,,User provides two test cases on mathy stuff. Developer looks at Math implementation to make fix. 
Lang,23,LANG-636,https://issues.apache.org/jira/browse/LANG-636,Y,,,Fix is to override equals() with new code.
Lang,24,LANG-664,https://issues.apache.org/jira/browse/LANG-664,Y,,,User suggests fix
Lang,25,LANG-658,https://issues.apache.org/jira/browse/LANG-658,,,,
Lang,26,LANG-645,https://issues.apache.org/jira/browse/LANG-645,,,,
Lang,27,LANG-638,https://issues.apache.org/jira/browse/LANG-638,,,,
Lang,28,LANG-617,https://issues.apache.org/jira/browse/LANG-617,,,,
Lang,29,LANG-624,https://issues.apache.org/jira/browse/LANG-624,,,,
Lang,30,LANG-607,https://issues.apache.org/jira/browse/LANG-607,,,,
Lang,31,LANG-607,https://issues.apache.org/jira/browse/LANG-607,,,,
Lang,32,LANG-586,https://issues.apache.org/jira/browse/LANG-586,,,,
Lang,33,LANG-587,https://issues.apache.org/jira/browse/LANG-587,Y,,,report of NPE when array contains null.
Lang,34,LANG-586,https://issues.apache.org/jira/browse/LANG-586,N,,,Memory leak related to opened thread. No idea how to test no test case given.
Lang,35,LANG-571,https://issues.apache.org/jira/browse/LANG-571,Y,,, Specification request: User asked to change behavior from ClassCastException to IllegalArgumentException.
Lang,36,LANG-521,https://issues.apache.org/jira/browse/LANG-521,Y,,,Specification request: User asking for changes in what belongs in isNumber(). Provides code for fix.
Lang,37,LANG-567,https://issues.apache.org/jira/browse/LANG-567,Y,,,Specification request: requesting different exception type be thrown. User provides code.
Lang,38,LANG-538,https://issues.apache.org/jira/browse/LANG-538,Y,,,User provides test case.
Lang,39,LANG-552,https://issues.apache.org/jira/browse/LANG-552,N,,,Specification request: User is suggesting api to be null friendly provided test case doesn't pass after fix.
Lang,40,LANG-432,https://issues.apache.org/jira/browse/LANG-432,,,,
Lang,41,LANG-535,https://issues.apache.org/jira/browse/LANG-535,,,,
Lang,42,LANG-480,https://issues.apache.org/jira/browse/LANG-480,,,,
Lang,43,LANG-477,https://issues.apache.org/jira/browse/LANG-477,,,,
Lang,44,LANG-457,https://issues.apache.org/jira/browse/LANG-457,,,,
Lang,45,LANG-419,https://issues.apache.org/jira/browse/LANG-419,,,,
Lang,46,LANG-421,https://issues.apache.org/jira/browse/LANG-421,,,,
Lang,47,LANG-412,https://issues.apache.org/jira/browse/LANG-412,,,,
Lang,48,LANG-393,https://issues.apache.org/jira/browse/LANG-393,,,,
Lang,49,LANG-380,https://issues.apache.org/jira/browse/LANG-380,,,,
Lang,50,LANG-368,https://issues.apache.org/jira/browse/LANG-368,,,,
